dataset,model,dim,exp,acc
chessBig,w2v,50,1,0.4904231625835189
chessBig,Glove,50,1,0.5456570155902004
chessBig,w2v,50,1,0.49175946547884186
chessBig,Glove,50,1,0.5461024498886414
chessBig,w2v,50,1,0.5033407572383074
chessBig,Glove,50,1,0.5456570155902004
chessBig,w2v,50,1,0.4875222816399287
chessBig,Glove,50,1,0.5574866310160428
chessBig,w2v,50,1,0.47950089126559714
chessBig,Glove,50,1,0.5427807486631016
chessBig,w2v,50,1,0.49153297682709446
chessBig,Glove,50,1,0.5111408199643493
chessBig,w2v,50,1,0.47459893048128343
chessBig,Glove,50,1,0.5574866310160428
chessBig,w2v,50,1,0.5013368983957219
chessBig,Glove,50,1,0.5686274509803921
chessBig,w2v,50,1,0.4946524064171123
chessBig,Glove,50,1,0.533868092691622
chessBig,w2v,50,2,0.489086859688196
chessBig,Glove,50,2,0.5946547884187082
chessBig,w2v,50,2,0.4797327394209354
chessBig,Glove,50,2,0.6071269487750557
chessBig,w2v,50,2,0.49175946547884186
chessBig,Glove,50,2,0.5977728285077951
chessBig,w2v,50,2,0.4806236080178174
chessBig,Glove,50,2,0.6106904231625835
chessBig,w2v,50,2,0.49242424242424243
chessBig,Glove,50,2,0.6127450980392157
chessBig,w2v,50,2,0.4888591800356506
chessBig,Glove,50,2,0.5975935828877005
chessBig,w2v,50,2,0.4977718360071301
chessBig,Glove,50,2,0.6105169340463458
chessBig,w2v,50,2,0.4893048128342246
chessBig,Glove,50,2,0.5975935828877005
chessBig,w2v,50,2,0.5049019607843137
chessBig,Glove,50,2,0.6216577540106952
chessBig,w2v,50,2,0.49910873440285203
chessBig,Glove,50,2,0.6332442067736186
chessBig,w2v,50,3,0.489086859688196
chessBig,Glove,50,3,0.6111358574610245
chessBig,w2v,50,3,0.48195991091314033
chessBig,Glove,50,3,0.5817371937639199
chessBig,w2v,50,3,0.5006681514476615
chessBig,Glove,50,3,0.5897550111358575
chessBig,w2v,50,3,0.4841870824053452
chessBig,Glove,50,3,0.5741648106904231
chessBig,w2v,50,3,0.49910873440285203
chessBig,Glove,50,3,0.5971479500891266
chessBig,w2v,50,3,0.49866310160427807
chessBig,Glove,50,3,0.6140819964349377
chessBig,w2v,50,3,0.4968805704099822
chessBig,Glove,50,3,0.6016042780748663
chessBig,w2v,50,3,0.48975044563279857
chessBig,Glove,50,3,0.5918003565062389
chessBig,w2v,50,3,0.49331550802139035
chessBig,Glove,50,3,0.5900178253119429
